LotArea,OverallQual,Fireplaces,OpenPorchSF,LotShape,CentralAir,GarageCars,GrLivArea,Electrical,LotFrontage,Neighborhood,MasVnrArea,OverallCond,BldgType,HouseStyle,HalfBath,FullBath,LandSlope,1stFlrSF,2ndFlrSF,ExterQual,KitchenQual,BsmtQual,BsmtFullBath,BedroomAbvGr,Foundation,YearBuilt,BsmtFinType1,HeatingQC,GarageQual,LotConfig,BsmtFinSF1,LandContour,SaleCondition,Functional,Condition1,SaleType,MSZoning,MSSubClass,SalePrice
4130,3,0,0,0,1,0,729,1,56.0,0,0.0,6,1,0,0,0,0,6.591673732008658,0.0,1,0,0,0,1,0,7.5678626054638825,0,0,0,0,0.0,0,1,0,0,0,1,0,52000
6000,4,0,0,1,1,0,1324,1,50.0,0,0.0,6,1,0,0,0,0,6.6293632534374485,6.342121418721152,0,0,0,0,1,0,7.568379267836522,0,0,1,0,6.511745329644728,0,1,1,0,0,0,0,128000
9790,6,2,26,1,1,0,1328,1,0.0,0,451.0,5,1,0,1,0,0,7.191429330036379,0.0,0,0,0,1,1,0,7.5822291942764615,0,0,1,0,6.345636360828596,0,1,1,0,0,1,1,143000
9760,6,1,42,1,1,0,1851,1,80.0,0,340.0,8,1,1,1,1,1,6.927557906278317,6.723832440821209,0,1,0,0,1,0,7.582738488914411,0,0,1,0,6.285998094508865,0,1,1,0,0,1,1,187000
4590,8,1,73,1,1,0,1554,1,34.0,1,108.0,5,0,0,0,1,0,7.348587530927593,0.0,1,1,0,0,1,1,7.603897968521881,1,1,1,0,3.2188758248682006,0,1,1,0,0,1,1,209500
12155,6,1,0,0,1,0,1657,1,0.0,0,0.0,3,1,0,0,1,0,7.4127640174265625,0.0,0,0,0,0,1,0,7.585788821732034,0,0,1,0,7.121252453244542,0,1,1,1,0,1,1,163500
9400,6,0,0,1,1,0,1824,1,94.0,0,0.0,5,0,1,0,1,0,6.815639990074331,6.816735880594968,0,0,0,0,1,0,7.58629630715272,0,0,0,0,0.0,0,1,1,0,0,1,0,139000
10593,7,1,56,0,1,0,1720,1,59.0,1,338.0,5,1,0,0,1,0,7.450079569807499,0.0,1,1,0,1,1,1,7.59890045687141,1,1,1,0,6.824373670043086,0,1,1,0,0,1,1,260400
13360,5,0,0,0,1,0,964,1,80.0,1,0.0,7,1,0,0,0,0,6.871091294610546,0.0,0,0,0,1,1,0,7.560601162768557,0,1,1,0,6.570882962339584,1,1,1,0,0,1,0,163500
3230,6,0,24,1,1,0,1471,1,34.0,1,894.0,5,0,1,1,1,0,6.60934924316738,6.593044534142437,0,0,0,0,1,1,7.6004023345004,1,0,1,0,5.945420608606575,0,1,1,0,0,1,0,172500
7018,5,2,0,1,1,0,1224,1,64.0,0,275.0,5,0,0,0,0,0,7.1098794630722715,0.0,0,0,0,1,1,0,7.590346945602565,1,0,1,0,6.99117688712121,0,0,1,0,0,1,0,153337
7200,4,0,29,1,1,0,1040,0,60.0,0,0.0,5,1,0,0,0,0,6.946975992135418,0.0,0,0,0,0,1,0,7.575584651557793,0,0,1,0,0.0,0,1,1,0,0,1,1,109900
8530,7,1,72,0,1,0,1474,1,0.0,0,22.0,5,1,0,1,1,0,6.6895992691789665,6.508769136971682,0,0,0,0,1,1,7.598399329323964,0,0,1,0,0.0,0,1,1,0,0,1,0,168500
